"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"1",162907,"toys","premium",4,4,30,54.2,2744
"2",195042,"food","premium",3.9,4,22,64.4,3083
"3",72749,"toys","premium",3.2,9,29,41.5,1641
"4",148853,"other","off_brand",4.1,4,14,54.2,1832
"5",192908,"health","off_brand",4.2,3,5,31.2,2967
"6",124273,"health","premium",3.9,7,NA,57.1,2525
"7",201600,"health","off_brand",4.1,16,18,35,3496
"8",129068,"other","off_brand",4.5,14,26,40.1,1100
"9",111510,"other","off_brand",4.2,6,24,44.2,844
"10",88095,"toys","off_brand",4.2,16,23,67.4,488
"11",109813,"health","premium",4.2,14,25,21.1,1080
"12",152966,"toys","premium",4.5,13,25,70.3,2014
"13",165378,"toys","off_brand",4.9,11,26,94.9,875
"14",219841,"health","off_brand",4.9,3,11,42,2632
"15",87386,"toys","off_brand",3.9,4,17,5,2463
"16",136535,"food","premium",3.7,10,20,43.8,1213
"17",197969,"food","premium",4.2,2,31,49.6,3308
"18",286392,"health","off_brand",4.6,8,8,69.3,3671
"19",224862,"toys","premium",4.8,17,29,38.5,2100
"20",152701,"health","premium",4.4,3,NA,78.8,2468
"21",106754,"toys","off_brand",4.1,2,13,34.2,675
"22",93855,"other","off_brand",4.4,2,15,17.4,517
"23",103168,"food","off_brand",4.4,0,16,62,1085
"24",86313,"toys","premium",3.7,10,9,58,775
"25",169079,"toys","off_brand",4.2,11,22,57.9,2394
"26",54119,"food","off_brand",3.4,5,19,59.5,566
"27",137883,"toys","off_brand",4.2,4,34,72.1,2284
"28",90112,"health","premium",3.5,10,24,15.7,1159
"29",160369,"toys","off_brand",4.6,9,31,62.6,2561
"30",256844,"food","premium",4.7,9,NA,48.5,2855
"31",211632,"toys","off_brand",4.6,9,NA,87.2,2691
"32",134659,"toys","off_brand",4.4,1,30,56.1,1010
"33",167879,"toys","off_brand",4.8,15,30,38,1110
"34",155801,"other","off_brand",4.2,7,NA,74.2,2599
"35",160802,"toys",NA,4.8,5,21,NA,2248
"36",168538,"toys","off_brand",4.8,2,19,46.8,2003
"37",138978,"health","premium",2.8,13,17,36.1,2691
"38",188366,"health","premium",3.7,3,20,56.4,3540
"39",69443,"toys","premium",3.7,2,23,29.2,1503
"40",48265,"toys","off_brand",3.6,10,23,69.8,632
"41",82090,"toys","premium",3.5,7,19,38.5,1714
"42",171121,"toys","off_brand",4.2,13,20,43.3,1802
"43",192073,"health",NA,4.1,3,11,57.8,3048
"44",134460,"toys","premium",4.2,2,32,NA,2757
"45",179803,"toys","off_brand",4.6,2,NA,22.7,1988
"46",83050,"food","premium",3.3,10,25,63.1,960
"47",228655,"toys","off_brand",4.9,10,26,64.7,1863
"48",72776,"other","off_brand",3.7,2,NA,42.3,1165
"49",216237,"health","off_brand",4.3,19,24,59.9,3319
"50",130461,"toys","off_brand",3.9,17,29,69.8,1856
"51",119285,"toys","premium",4.3,11,28,71.1,1483
"52",175043,"health","off_brand",4,1,29,26,2569
"53",150925,"health","off_brand",4.6,4,26,68,1014
"54",216340,"toys","off_brand",4.7,21,15,56,1979
"55",161432,"toys","off_brand",4.8,3,22,47.4,1222
"56",146426,"toys","off_brand",3.9,8,NA,43,2006
"57",150653,"food","premium",3.7,16,17,49.4,1069
"58",220287,"toys","premium",4.7,9,26,60.2,3429
"59",136624,"health","premium",3.9,14,25,54.1,2430
"60",127097,"toys","premium",4.1,6,12,56.5,2453
"61",87872,"health","off_brand",4.2,3,24,57.2,933
"62",226509,"toys","off_brand",4.7,6,27,37.9,2950
"63",209073,"health","premium",4.3,22,4,55.1,2618
"64",210498,"food","premium",4.4,10,9,NA,2574
"65",210044,"other","premium",4.6,19,29,43.5,2309
"66",54955,"toys","premium",3.8,2,20,45.3,1091
"67",152596,"food","off_brand",2.9,9,NA,58,2133
"68",75357,"toys","premium",3.6,11,22,26.3,1094
"69",203786,"food","premium",4.3,6,24,81.7,2987
"70",121647,"toys","off_brand",4,3,21,54.7,2089
"71",206407,"toys",NA,4.9,13,11,38.1,2557
"72",110893,"health","premium",4.4,13,19,21.5,849
"73",202796,"toys","premium",4.5,6,19,52.5,2629
"74",111693,"toys","off_brand",2.8,4,37,18.6,2528
"75",152143,"health","off_brand",4.5,6,24,53.4,1320
"76",143262,"toys","off_brand",4.1,4,25,38.5,2493
"77",243501,"toys","off_brand",4.5,13,18,79.5,3377
"78",182769,"other","off_brand",4.9,10,23,31.2,1388
"79",185186,"health","off_brand",4.7,1,13,NA,1873
"80",169028,"toys","off_brand",3.8,7,27,59.6,3260
"81",158103,"health","premium",3.3,7,NA,15.5,3043
"82",103879,"health","premium",4.6,9,25,25.9,946
"83",103060,"toys","off_brand",3.9,10,29,48.5,1818
"84",54030,"health","premium",3.7,5,19,24.2,884
"85",157156,"toys","off_brand",3.3,10,14,53.5,3593
"86",217485,"health","off_brand",4.3,11,10,5,2731
"87",108459,"toys","premium",4.3,5,23,38.2,1124
"88",116914,"health","premium",4.2,22,25,18.8,1135
"89",168460,"food","off_brand",4.3,9,19,58.1,1126
"90",108391,"toys","premium",3.7,8,25,38.2,2217
"91",188477,"toys","premium",4.8,14,7,64,1531
"92",97632,"other","premium",3.7,3,4,88.1,1420
"93",209249,"food","off_brand",4.8,5,26,77.9,2773
"94",139723,"toys","premium",4.7,14,18,70.7,1188
"95",167814,"toys","off_brand",4.3,8,33,41.7,3537
"96",153926,"health","off_brand",4.2,8,NA,82.1,1983
"97",155135,"health","off_brand",4.1,5,19,33.3,2163
"98",203245,"health","off_brand",4.4,7,20,44.8,2675
"99",109949,"health","premium",4.3,0,21,12.5,1737
"100",121491,"health",NA,4.6,11,19,48.8,639
"101",111687,"health","premium",4.5,11,17,25.8,1708
"102",111250,"health","off_brand",4.1,8,13,23.8,1966
"103",97442,"toys","off_brand",4.5,13,18,57.5,816
"104",207330,"toys","premium",3.8,17,21,69.6,2932
"105",129387,"toys",NA,4.2,11,23,38.1,1941
"106",130432,"health","premium",3.9,5,25,33.8,2260
"107",123991,"toys","premium",4.3,16,22,31.4,1447
"108",221097,"toys","off_brand",4.8,8,19,63.8,3012
"109",100820,"health","off_brand",4.1,9,17,26.7,980
"110",115673,"toys","premium",4.5,1,15,36.5,1018
"111",218157,"toys","off_brand",4.8,6,28,42.3,2753
"112",234532,"health","off_brand",4.4,16,10,36,2827
"113",145016,"health","premium",4.3,10,15,25.7,1141
"114",169547,"toys","premium",3.7,10,21,48.1,3593
"115",54890,"health","off_brand",2.2,4,28,37.8,813
"116",149321,"health",NA,4.8,8,23,39.4,1124
"117",126603,"toys","off_brand",3.4,10,5,74.5,2140
"118",176769,"food","off_brand",4.4,14,16,23.3,1211
