transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,06/07/2023,17:56:22,1,2,Utrecht,4.5,Chocolate,Hot chocolate
2,06/10/2023,12:32:57,2,2,Utrecht,4.25,Coffee,Syrup coffee
3,06/05/2023,10:17:06,1,1,Alkmaar,3.0,Tea,Black tea
4,06/06/2023,15:54:08,3,1,Alkmaar,3.5,Coffee,Milk coffee
5,06/09/2023,10:08:03,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
6,06/06/2023,16:32:37,2,3,Eindhoven,3.0,Bakery,Scone
7,06/07/2023,13:26:16,2,2,Utrecht,4.5,Chocolate,Hot chocolate
8,06/09/2023,14:53:40,1,3,Eindhoven,3.5,Tea,Herbal tea
9,06/11/2023,08:31:54,4,1,Alkmaar,4.5,Chocolate,Hot chocolate
10,06/07/2023,12:08:24,2,3,Eindhoven,3.5,Tea,Herbal tea
11,06/09/2023,19:28:01,2,3,Eindhoven,3.5,Coffee,Milk coffee
12,06/05/2023,16:59:17,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
13,06/06/2023,10:35:37,2,3,Eindhoven,3.5,Bakery,Pie
14,06/10/2023,12:17:40,2,3,Eindhoven,3.0,Tea,Black tea
15,06/08/2023,13:14:21,5,1,Alkmaar,4.5,Chocolate,Hot chocolate
16,06/10/2023,09:06:50,1,3,Eindhoven,3.5,Tea,Herbal tea
17,06/09/2023,13:09:59,3,1,Alkmaar,2.0,Coffee,Black coffee
18,06/09/2023,15:49:11,1,2,Utrecht,6.3,Coffee,Organic blended coffee
19,06/11/2023,08:54:29,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
20,06/10/2023,07:19:17,1,2,Utrecht,3.5,Coffee,Milk coffee
21,06/11/2023,15:02:16,4,2,Utrecht,3.75,Bakery,Sandwich
22,06/07/2023,09:39:38,2,3,Eindhoven,3.25,Tea,Chai tea
23,06/08/2023,09:06:28,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
24,06/08/2023,12:51:46,2,1,Alkmaar,3.0,Bakery,Scone
25,06/09/2023,16:13:47,1,3,Eindhoven,3.5,Bakery,Pie
26,06/10/2023,06:38:52,2,3,Eindhoven,3.5,Coffee,Milk coffee
27,06/09/2023,17:36:06,2,2,Utrecht,6.3,Coffee,Organic blended coffee
28,06/10/2023,16:31:51,2,2,Utrecht,3.5,Coffee,Milk coffee
29,06/11/2023,14:37:33,1,2,Utrecht,4.5,Chocolate,Hot chocolate
30,06/09/2023,11:31:38,3,3,Eindhoven,3.25,Tea,Chai tea
31,06/06/2023,13:36:02,1,1,Alkmaar,3.0,Bakery,Scone
32,06/08/2023,11:16:38,1,1,Alkmaar,3.0,Tea,Black tea
33,06/06/2023,16:09:23,2,2,Utrecht,3.5,Coffee,Milk coffee
34,06/08/2023,17:00:44,3,3,Eindhoven,3.5,Bakery,Pie
35,06/10/2023,09:54:20,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
36,06/06/2023,11:29:27,2,2,Utrecht,6.3,Coffee,Organic blended coffee
37,06/11/2023,08:25:53,1,3,Eindhoven,3.0,Tea,Black tea
38,06/10/2023,08:36:27,3,3,Eindhoven,3.5,Coffee,Milk coffee
39,06/10/2023,06:19:09,4,2,Utrecht,4.5,Chocolate,Hot chocolate
40,06/08/2023,09:56:56,2,2,Utrecht,3.75,Bakery,Sandwich
41,06/06/2023,10:00:15,2,1,Alkmaar,3.5,Bakery,Pie
42,06/08/2023,10:47:32,2,3,Eindhoven,2.0,Coffee,Black coffee
43,06/11/2023,08:31:28,2,3,Eindhoven,6.3,Coffee,Organic blended coffee
44,06/08/2023,10:31:46,1,3,Eindhoven,3.5,Tea,Herbal tea
45,06/11/2023,14:48:15,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
46,06/10/2023,16:51:45,1,2,Utrecht,6.3,Coffee,Organic blended coffee
47,06/10/2023,08:25:10,1,2,Utrecht,3.0,Bakery,Scone
48,06/09/2023,07:27:20,2,3,Eindhoven,2.0,Coffee,Black coffee
49,06/07/2023,10:32:03,4,1,Alkmaar,3.5,Bakery,Pie
50,06/11/2023,10:50:23,4,1,Alkmaar,3.0,Bakery,Scone
51,06/11/2023,11:30:47,4,1,Alkmaar,4.25,Coffee,Syrup coffee
52,06/10/2023,17:43:32,1,2,Utrecht,3.0,Tea,Black tea
53,06/09/2023,17:45:28,1,1,Alkmaar,3.5,Tea,Herbal tea
54,06/11/2023,08:47:46,2,2,Utrecht,3.25,Tea,Chai tea
55,06/06/2023,10:45:43,1,3,Eindhoven,3.15,Tea,Green tea
56,06/09/2023,17:00:45,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
57,06/10/2023,18:18:18,1,1,Alkmaar,4.5,Chocolate,Hot chocolate
58,06/09/2023,19:05:00,4,3,Eindhoven,3.75,Bakery,Sandwich
59,06/09/2023,10:08:34,2,2,Utrecht,6.3,Coffee,Organic blended coffee
60,06/06/2023,12:54:01,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
61,06/10/2023,11:04:41,2,2,Utrecht,4.5,Chocolate,Hot chocolate
62,06/08/2023,11:14:05,1,2,Utrecht,4.25,Coffee,Syrup coffee
63,06/06/2023,10:33:31,2,3,Eindhoven,3.15,Tea,Green tea
64,06/11/2023,16:54:30,2,1,Alkmaar,3.25,Tea,Chai tea
65,06/08/2023,07:07:05,2,3,Eindhoven,3.25,Tea,Chai tea
66,06/08/2023,10:21:07,4,3,Eindhoven,3.5,Coffee,Milk coffee
67,06/10/2023,08:52:22,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
68,06/08/2023,07:32:27,2,3,Eindhoven,3.75,Bakery,Sandwich
69,06/11/2023,08:13:28,6,2,Utrecht,3.0,Bakery,Scone
70,06/09/2023,09:22:51,6,1,Alkmaar,3.25,Tea,Chai tea
71,06/09/2023,11:47:16,1,3,Eindhoven,3.0,Bakery,Scone
